Transaction Description	Category
WILLYS HEMMA KVI	Food & Dining
Klarna	Shopping
BOLT.EU/O/230730	Travel & Transport
Överföring via internet	Transfer
Swish Västtrafik To Go	Transfer
WILLYS HEMMA KVI	Food & Dining
4028142 Pressbyr	Shopping
Telenor	Bills & Utilities
Telenor	Bills & Utilities
HEMKÖP GÖTEBORG	Food & Dining
PlayStation Netw	Entertainment
PRIS NYCKELKUND	Fees & Charges
T Hedvig 3G	Transfer
WALLENSTAM AB	Income
Wise	Transfer
AKADEMIBOKHANDE	Shopping
ESPRESSO HOUSE	Food & Dining
LIDL 346/GOTEBOR	Shopping
Överföring via internet	Transfer
HEMKÖP GÖTEBORG	Food & Dining
LÖN	Income
Swish skickad +46764499390	Transfer
FILMSTADEN BERG	Entertainment
FILMSTADEN AB	Entertainment
HEMKÖP GÖTEBORG	Food & Dining
Bestseller AS	Shopping
BOLT.EU/R/230723	Travel & Transport
hallon	Bills & Utilities
NETFLIX.COM	Entertainment
SUBWAY GOTEBORG	Food & Dining
PlayStation Netw	Entertainment
TAP&GO MALPENSA	Travel & Transport
WILLYS WIESELGRE	Food & Dining
ALICE PIZZA	Food & Dining
GROMART SRL	Food & Dining
AUTOGRILL 7130	Food & Dining
Omio	Travel & Transport
Starbucks-H203	Food & Dining
saudi french co	Food & Dining
UBER *TRIP HELP.	Travel & Transport
Flygbussarna	Travel & Transport
Swish Västtrafik To Go	Transfer
Wise	Transfer
MEVLANAGOTEBORG.	Food & Dining
RYANAIR224AHRVXJ	Travel & Transport
GOOGLE *Google P	Entertainment
Wise	Transfer
Wise	Transfer
Regionservice Pa	Transfer
Google Payment I	Entertainment
hallon	Bills & Utilities
EXPRESS FOOD COM	Food & Dining
DING *13549813	Entertainment
Ding 135497363	Entertainment
saudi french co	Food & Dining
Telenor	Bills & Utilities
Telenor	Bills & Utilities
Rent July 2023	Bills & Utilities
DUFRITAL 018 MXP	Travel & Transport
ESPRESSO H 127	Food & Dining
Överföring via internet	Transfer
Överföring via internet	Transfer
PRIS NYCKELKUND	Fees & Charges
T Hedvig cj	Transfer
Kry / Billogram	Health & Beauty
AUTOSERVIZI LOCA	Travel & Transport
CENTRALE M2	Travel & Transport
ICA NARA KVILLEB	Food & Dining
Apoteket Backapl	Health & Beauty
CONVINI	Food & Dining
SKMT	Shopping
GOOGLE *Google P	Entertainment
KINTO SHARE SWED	Transfer
KINTO SHARE SWED	Transfer
KINTO SHARE SWED	Transfer
Överföring via internet	Transfer
LÖN	Income
HAGA OF SWEDEN	Shopping
HEMKÖP GÖTEBORG	Food & Dining
Sannegardens Piz	Food & Dining
GOOGLE *Google P	Entertainment
ESPRESSO H 254	Food & Dining
Överföring via internet	Transfer
Överföring via internet	Transfer
Överföring via internet	Transfer
DAHLS BAGERI	Food & Dining
NETFLIX.COM	Entertainment
DAHLS BAGERI	Food & Dining
LANDVETTER KORTT	Auto & Transport
Swish VAPIANO ÖSTRA HA	Transfer
VOLVO ON DEMAND	Auto & Transport
RYANAIR0000000KP	Travel & Transport
UBER *TRIP	Travel & Transport
LISEBERG ENTRE	Entertainment
LISEBERG ENTRE	Entertainment
LISEBERG FAST F	Entertainment
MEVLANAGOTEBORG.	Food & Dining
Swish Västtrafik To Go	Transfer
Swish Västtrafik To Go	Transfer
Swish mottagen +46793582472	Transfer
Överföring via internet	Transfer
Swish mottagen +46793582472	Transfer
PICADELI LILLA B	Food & Dining
GOOGLE *Google P	Entertainment
HELLOFRESH	Food & Dining
Överföring via internet	Transfer
Överföring via internet	Transfer
PICADELI LILLA B	Food & Dining
RYANAIR0000000NW	Travel & Transport
KLARNA	Shopping
Överföring via internet	Transfer
Swish Vänner & Deg AB	Transfer
Klarna*Testmotta	Shopping
HEMKOP GOTEBORG	Food & Dining
Överföring via internet	Transfer
MOON THAI KITCHE	Food & Dining
GE-KAS	Shopping
GEKAS RESTAURANG	Food & Dining
GEKAS RESTAURANG	Food & Dining
CIRCLE K VESTRA	Auto & Transport
Swish Västtrafik To Go	Transfer
4028142 Pressbyr	Shopping
Överföring via internet	Transfer
Swish Västtrafik To Go	Transfer
Swish mottagen +46793582472	Transfer
INDIAN FOOD HOUS	Food & Dining
LIDL 346/GOTEBOR	Shopping
HEMKOP GOTEBORG	Food & Dining
Swish mottagen +46793582472	Transfer
Överföring via internet	Transfer
Swish Västtrafik To Go	Transfer
ICA NARA KVILLEB	Food & Dining
SLIMFOOD	Food & Dining
KINTO SHARE SWED	Transfer
KINTO SHARE SWED	Transfer
WEI WEI ASIAN EA	Food & Dining
Sannegardens Piz	Food & Dining
ISABELLE RESTAUR	Food & Dining
Swish mottagen +46793582472	Transfer
Apoteket Backapl	Health & Beauty
Swish mottagen +46793582472	Transfer
4028150 Pressbyr	Shopping
SOTA BAR SALGREN	Food & Dining
KÖRKORTSAVGIFTER	Bills & Utilities
Jysk Backaplan	Shopping
hallon	Bills & Utilities
NORMAL G@TEBORG	Shopping
PICADELI LILLA B	Food & Dining
Swish Västtrafik To Go	Transfer
Swish mottagen +46793582472	Transfer
DAHLS BAGERI	Food & Dining
Wise	Transfer
Överföring via internet	Transfer
Zettle_*Kafe Alk	Entertainment
VOLVO ON DEMAND	Auto & Transport
Swish mottagen +46793582472	Transfer
PRIS NYCKELKUND	Fees & Charges
T Hedvig eC	Transfer
CONDECO FREDSGAT	Bills & Utilities
Swish Kvilletorgets Tr	Transfer
Swish skickad +46738788360	Transfer
Swish skickad +46760502050	Transfer
Wise	Transfer
WAFFLES	Food & Dining
HELLOFRESH	Food & Dining
Telenor	Bills & Utilities
Telenor	Bills & Utilities
rent June 23	Bills & Utilities
Överföring via internet	Transfer
Överföring via internet	Transfer
Swish skickad +46793582472	Transfer
FILMSTADEN AB	Entertainment
Överföring via internet	Transfer
Överföring via internet	Transfer
LÖN	Income
VOLVO ON DEMAND	Auto & Transport
NETFLIX.COM	Entertainment
APOTEK HJARTAT N	Health & Beauty
Swish skickad +46738788360	Transfer
Sannegardens Piz	Food & Dining
VOLVO ON DEMAND	Auto & Transport
Överföring via internet	Transfer
Swish mottagen +46793582472	Transfer
Överföring via internet	Transfer
Swish Kvilletorgets Tr	Transfer
Swish skickad +46720481348	Transfer
Swish skickad +46793582472	Transfer
HEMKÖP GÖTEBORG	Food & Dining
HM SE0221	Shopping
KD APOTEK	Health & Beauty
Överföring via internet	Transfer
COOP LUNDBY	Food & Dining
WILLYS WIESELGRE	Food & Dining
MEVLANAGOTEBORG.	Food & Dining
OMIO	Travel & Transport
Swish VY BUSS	Travel & Transport
TANDKLINIK 19	Health & Beauty
RYANAIR0000000GI	Travel & Transport
HEMKÖP GÖTEBORG	Food & Dining
GOOGLE *Google P	Entertainment
WILLYS GÖTEBORG	Food & Dining
Swish skickad +46760502050	Transfer
TURKISK SULTAN	Food & Dining
AGAPE PREMIUM SU	Food & Dining
Sannegardens Piz	Food & Dining
Swish Trafikverket För	Transfer
GOOGLE*YOUTUBE V	Entertainment
WILLYS HEMMA KVI	Food & Dining
Abdul Frisorsalo	Health & Beauty
DAHLS BAGERI - Food & Dining
GOOGLE *Google P - Fees & Charges
Swish skickad +46739085579 - Transfer
DOLLARSTORE 210 - Shopping
Jysk Backaplan - Shopping
WILLYS HEMMA KVI - Food & Dining
CHING PALACE - Food & Dining
Sannegardens Piz - Food & Dining
Swish skickad +46793582472 - Transfer
hallon - Fees & Charges
WILLYS WIESELGRE - Food & Dining
WILLYS WIESELGRE - Food & Dining
MEVLANAGOTEBORG - Food & Dining
Swish mottagen +46793582472 - Transfer
INDIAN FOOD HOUS - Food & Dining
WILLYS HEMMA KVI - Food & Dining
HEMKÖP GÖTEBORG - Food & Dining
Zettle_*Bangkok - Shopping
KINTO SHARE SWED - Auto & Transport
KINTO SHARE SWED - Auto & Transport
CAFE HUSAREN - Food & Dining
BOLT.EU/O/230814 - Auto & Transport
FTC Vastra Frolu - Entertainment
Alkemisten Lindh - Entertainment
PARKERING G@TEB - Auto & Transport
HAMMARHALLEN AB - Food & Dining
Swish Västtrafik To Go - Auto & Transport
Swish Västtrafik To Go - Auto & Transport
Google Play Apps - Entertainment
Google Play Apps - Entertainment
OTTER.AI - Entertainment
TURKISK SULTAN - Food & Dining
NORMAL G@TEBORG - Shopping
Swish Easypark AB - Bills & Utilities
Swish Västtrafik To Go - Auto & Transport
WILLYS WIESELGRE - Food & Dining
479999 FUELSTATI - Auto & Transport
WILLYS HEMMA KVI - Food & Dining
Swish Västtrafik To Go - Auto & Transport
WILLYS HEMMA KVI - Food & Dining
APNA BAZAR KVILL - Food & Dining
Swish skickad +46704692993 - Transfer
GLADE JOHANS GOD - Shopping
CEVICHE - Food & Dining
Swish skickad +46760502050 - Transfer
WILLYS WIESELGRE - Food & Dining
WILLYS HEMMA VÅR - Food & Dining
WILLYS HEMMA VÅR - Food & Dining
hallon - Fees & Charges
WILLYS HEMMA KVI - Food & Dining
Klarna - Shopping
BOLT.EU/O/230730 - Auto & Transport
Överföring via internet - Transfer
Swish Västtrafik To Go - Auto & Transport
WILLYS HEMMA KVI - Food & Dining
4028142 Pressbyr - Shopping
Telenor - Bills & Utilities
Telenor - Bills & Utilities
HEMKÖP GÖTEBORG - Food & Dining
PlayStation Netw - Entertainment
PRIS NYCKELKUND - Fees & Charges
T Hedvig 3G - Bills & Utilities
WALLENSTAM AB - Home
Wise - Transfer
AKADEMIBOKHANDE - Shopping
ESPRESSO HOUSE - Food & Dining
LIDL 346/GOTEBOR - Shopping
Överföring via internet - Transfer
HEMKÖP GÖTEBORG - Food & Dining
LÖN - Income
Swish skickad +46764499390 - Transfer
FILMSTADEN BERG - Entertainment
FILMSTADEN AB - Entertainment
HEMKÖP GÖTEBORG - Food & Dining
Bestseller AS - Shopping
BOLT.EU/R/230723 - Auto & Transport
hallon - Fees & Charges
NETFLIX.COM - Entertainment
SUBWAY GOTEBORG - Food & Dining
PlayStation Netw - Entertainment
TAP&GO MALPENSA - Travel
WILLYS WIESELGRE - Food & Dining
ALICE PIZZA - Food & Dining
GROMART SRL - Food & Dining
AUTOGRILL 7130 - Food & Dining
Omio - Travel
Starbucks-H203 - Food & Dining
saudi french co - Food & Dining
UBER *TRIP HELP. - Auto & Transport
Flygbussarna - Travel
Swish Västtrafik To Go - Auto & Transport
Wise - Transfer
MEVLANAGOTEBORG. - Food & Dining
RYANAIR224AHRVXJ - Travel
GOOGLE *Google P - Fees & Charges
Wise - Transfer
Wise - Transfer
Regionservice Pa - Bills & Utilities
Google Payment I - Fees & Charges
hallon - Fees & Charges
EXPRESS FOOD COM - Food & Dining
DING *13549813 - Mobile Recharge
Ding 135497363 - Mobile Recharge
saudi french co - Food & Dining
Telenor - Bills & Utilities
Telenor - Bills & Utilities
Rent July 2023 - Home
DUFRITAL 018 MXP - Travel
ESPRESSO H 127 - Food & Dining
Överföring via internet - Transfer
Överföring via internet - Transfer
PRIS NYCKELKUND - Fees & Charges
T Hedvig cj - Bills & Utilities
Kry / Billogram - Health & Wellness
AUTOSERVIZI LOCA - Auto & Transport
CENTRALE M2 - Entertainment
ICA NARA KVILLEB - Shopping
Apoteket Backapl - Health & Wellness
CONVINI - Food & Dining
SKMT - Fees & Charges
GOOGLE *Google P - Fees & Charges
KINTO SHARE SWED - Auto & Transport
KINTO SHARE SWED - Auto & Transport
KINTO SHARE SWED - Auto & Transport
Överföring via internet - Transfer
LÖN - Income
HAGA OF SWEDEN - Shopping
HEMKÖP GÖTEBORG - Food & Dining
Sannegardens Piz - Food & Dining
GOOGLE *Google P - Fees & Charges
ESPRESSO H 254 - Food & Dining
Överföring via internet - Transfer
Överföring via internet - Transfer
Överföring via internet - Transfer
DAHLS BAGERI - Food & Dining
NETFLIX.COM - Entertainment
DAHLS BAGERI - Food & Dining
LANDVETTER KORTT - Travel
Swish VAPIANO ÖSTRA HA - Food & Dining
VOLVO ON DEMAND - Auto & Transport
RYANAIR0000000KP - Travel
UBER *TRIP - Auto & Transport
LISEBERG ENTRE - Entertainment
LISEBERG ENTRE - Entertainment
LISEBERG FAST F - Entertainment
MEVLANAGOTEBORG - Food & Dining
Swish Västtrafik To Go - Auto & Transport
Swish Västtrafik To Go - Auto & Transport
Swish mottagen +46793582472 - Transfer
Överföring via internet - Transfer
Swish mottagen +46793582472 - Transfer
PICADELI LILLA B - Food & Dining
GOOGLE *Google P - Fees & Charges
HELLOFRESH - Food & Dining
Överföring via internet - Transfer
Överföring via internet - Transfer
PICADELI LILLA B - Food & Dining
RYANAIR0000000NW - Travel
KLARNA - Shopping
Överföring via internet - Transfer
Swish Vänner & Deg AB - Transfer
Klarna*Testmotta - Shopping
HEMKOP GOTEBORG - Food & Dining
Överföring via internet - Transfer
MOON THAI KITCHE - Food & Dining
GE-KAS - Shopping
GEKAS RESTAURANG - Food & Dining
GEKAS RESTAURANG - Food & Dining
CIRCLE K VESTRA - Shopping
Swish Västtrafik To Go - Auto & Transport
4028142 Pressbyr - Shopping
Överföring via internet - Transfer
Swish Västtrafik To Go - Auto & Transport
Swish mottagen +46793582472 - Transfer
INDIAN FOOD HOUS - Food & Dining
LIDL 346/GOTEBOR - Shopping
HEMKOP GOTEBORG - Food & Dining
Swish mottagen +46793582472 - Transfer
Överföring via internet - Transfer
Swish Västtrafik To Go - Auto & Transport
ICA NARA KVILLEB - Shopping
SLIMFOOD - Food & Dining
KINTO SHARE SWED - Auto & Transport
KINTO SHARE SWED - Auto & Transport
WEI WEI ASIAN EA - Food & Dining
Sannegardens Piz - Food & Dining
ISABELLE RESTAUR - Food & Dining
Swish mottagen +46793582472 - Transfer
Apoteket Backapl - Health & Wellness
Swish mottagen +46793582472 - Transfer
4028150 Pressbyr - Shopping
SOTA BAR SALGREN - Food & Dining
KÖRKORTSAVGIFTER - Bills & Utilities
Jysk Backaplan - Shopping
hallon - Fees & Charges
NORMAL G@TEBORG - Shopping
PICADELI LILLA B - Food & Dining
Swish Västtrafik To Go - Auto & Transport
Swish mottagen +46793582472 - Transfer
DAHLS BAGERI - Food & Dining
Wise - Finance
Överföring via internet - Transfer
Zettle_*Kafe Alk - Food & Dining
VOLVO ON DEMAND - Auto & Transport
Swish mottagen +46793582472 - Transfer
PRIS NYCKELKUND - Fees & Charges
T Hedvig eC - Bills & Utilities
CONDECO FREDSGAT - Entertainment
Swish Kvilletorgets Tr - Transfer
Swish skickad +46738788360 - Transfer
Swish skickad +46760502050 - Transfer
Wise - Finance
WAFFLES - Food & Dining
HELLOFRESH - Food & Dining
Telenor - Bills & Utilities
Telenor - Bills & Utilities
Rent June 23 - Home
Överföring via internet - Transfer
Överföring via internet - Transfer
Swish skickad +46793582472 - Transfer
FILMSTADEN AB - Entertainment
Överföring via internet - Transfer
Överföring via internet - Transfer
LÖN - Income
VOLVO ON DEMAND - Auto & Transport
NETFLIX.COM - Entertainment
APOTEK HJARTAT N - Health & Wellness
Swish skickad +46738788360 - Transfer
Sannegardens Piz - Food & Dining
VOLVO ON DEMAND - Auto & Transport
Överföring via internet - Transfer
Swish mottagen +46793582472 - Transfer
Överföring via internet - Transfer
Swish Kvilletorgets Tr - Transfer
Swish skickad +46720481348 - Transfer
Swish skickad +46793582472 - Transfer
HEMKÖP GÖTEBORG - Food & Dining
HM SE0221 - Shopping
KD APOTEK - Health & Wellness
Överföring via internet - Transfer
COOP LUNDBY - Shopping
WILLYS WIESELGRE - Shopping
MEVLANAGOTEBORG - Food & Dining
OMIO - Travel
Swish VY BUSS - Travel
TANDKLINIK 19 - Health & Wellness
RYANAIR0000000GI - Travel
HEMKÖP GÖTEBORG - Food & Dining
GOOGLE *Google P - Fees & Charges
WILLYS GÖTEBORG - Shopping
Swish skickad +46760502050 - Transfer
TURKISK SULTAN - Food & Dining
AGAPE PREMIUM SU - Food & Dining
Sannegardens Piz - Food & Dining
Swish Trafikverket För - Auto & Transport
GOOGLE*YOUTUBE V - Entertainment
WILLYS HEMMA KVI - Shopping
Abdul Frisorsalo - Personal Care
Swish mottagen +46760594647 - Transfer
Zettle_*Kafe Alk - Food & Dining
Yalla Habibi Kun - Food & Dining
BOLT.EU/R/230510 - Auto & Transport
Wise - Finance
BENNE Med Faerja - Travel
ICA NARA KVILLEB - Shopping
ROBERTS COFFEE - Food & Dining
WILLYS WIESELGRE - Shopping
PPS Foods AB - Food & Dining
Swish mottagen +46760502050 - Transfer
Swish mottagen +46760594647 - Transfer
BURGER MANSION G - Food & Dining
ROBERTS COFFEE - Food & Dining
HEMKÖP GÖTEBORG - Food & Dining
Zettle_*Kafe Alk - Food & Dining
Överföring via internet - Transfer
Swish Västtrafik To Go - Auto & Transport
Rent Apr 2023 - Home
hallon - Fees & Charges
Swish Västtrafik To Go - Auto & Transport
Swish Västtrafik To Go - Auto & Transport
STORA COOP BACKA - Shopping
Apoteket Backapl - Health & Wellness
Swish mottagen +46769023894 - Transfer
WILLYS WIESELGRE - Shopping
Telenor - Bills & Utilities
Telenor - Bills & Utilities
APOTEK HJARTAT N - Health & Wellness
HEMKÖP GÖTEBORG - Food & Dining
BETALTOALETT - Home
Swish skickad +46769023894 - Transfer
PRIS NYCKELKUND - Fees & Charges
T Hedvig cH - Bills & Utilities
HELLOFRESH - Food & Dining
Överföring via internet - Transfer
LÖN - Income
WILLYS WIESELGRE - Shopping
FLIXBUS.COM - Travel
PICADELI LILLA B - Food & Dining
Swish mottagen +46793582472 - Transfer
Gateau Malmo C - Food & Dining
Överföring via internet - Transfer
Överföring via internet - Transfer
Swish VY BUSS - Travel
Lilla Cafeet i M - Food & Dining
Netflix.com - Entertainment
Foodora AB - Food & Dining
MCD 238 - GBG - Food & Dining
WILLYS HEMMA MAL - Shopping
Swish REGION SKÅNE Skå - Transfer
Swish skickad +46769023894 - Transfer
Swish mottagen +46734812816 - Transfer
Swish mottagen +46793582472 - Transfer
STORA COOP BACKA - Shopping
STORA COOP BACKA - Shopping
KICKS 840 BACKAP - Shopping
MEVLANAGOTEBORG - Food & Dining
Apoteket Backapl - Health & Wellness
Apoteket Backapl - Health & Wellness
Swish Mevlana - Transfer
Swish MUSLIM AID SWEDE - Transfer
FLIXBUS.COM - Travel
Swish mottagen +46793582472 - Transfer
Wise - Finance
Google Play Apps - Entertainment
Överföring via internet - Transfer
AGAPE PREMIUM SU - Food & Dining
INDIAN SUPERMARK - Food & Dining
Swish skickad +46793582472 - Transfer
Swish mottagen +46793582472 - Transfer
RYANAIR0000000TY - Travel
MCD 238 - GBG - Food & Dining
Överföring via internet - Transfer
Swish Kvilletorgets Tr - Transfer
ICA NARA KVILLEB - Shopping
Swish Trafikverket För - Auto & Transport
Foodora AB - Food & Dining
Swish Västtrafik To Go - Auto & Transport
Swish Västtrafik To Go - Auto & Transport
SULTANZADE - Food & Dining
Swish skickad +46793582472 - Transfer
Swish skickad +46769023894 - Transfer
HELLOFRESH - Food & Dining
SK9406231259 - Home
Klarna*ikorkort. - Shopping
Överföring via internet - Transfer
Överföring via internet - Transfer
hallon - Fees & Charges
Pressbyran Norra - Shopping
Swish mottagen +46793582472 - Transfer
SOTA BER SWEDEN - Shopping
KD APOTEK - Health & Wellness
STORA COOP BACKA - Shopping
Swish VAPIANO ÖSTRA HA - Food & Dining
Wise - Finance
WILLYS WIESELGRE - Shopping
HELLOFRESH - Food & Dining
Klarna*power.se - Shopping
Swish mottagen +46793582472 - Transfer
SULTANZADE - Food & Dining
Telenor - Bills & Utilities
Telenor - Bills & Utilities
Rent March 23 - Home
CONVINI - Food & Dining
Överföring via internet - Transfer
Överföring via internet - Transfer
PRIS NYCKELKUND - Fees & Charges
T Hedvig 1F - Bills & Utilities
LÖN - Income
Wise - Finance
YAKI-DA AB - Entertainment
Bombay Bistro - Food & Dining
ESPRESSO H 10 - Food & Dining
NETFLIX.COM - Entertainment
Max Burgers 2010 - Food & Dining
Överföring - Transfer
BOLT.EU/O/230321 - Auto & Transport
CENTRALENS TOALE - Home
SOCKER SUCKER - Food & Dining
CONDECO FREDSGAT - Entertainment
Swish AB STORSTOCKHOLM - Transfer
Swish AB STORSTOCKHOLM - Transfer
TACO BAR KOMPASS - Food & Dining
APOTEK HJARTAT N - Health & Wellness
Taco Bar - Food & Dining
Forex Nordstan - Shopping
OMIO - Travel
STORA COOP BACKA - Shopping
DAHLS BAGERI - Food & Dining
Överföring via internet - Transfer
Swish skickad +46793582472 - Transfer
Swish mottagen +46793582472 - Transfer
Alkemisten Lindh - Food & Dining
FLIXBUS.COM - Travel
KOOPERATIVET LIN - Shopping
WILLYS WIESELGRE - Shopping
Abdul Frisorsalo - Personal Care
GOOGLE *Google P - Fees & Charges
Alkemisten Lindh - Food & Dining
FLIXBUS.COM - Travel
OMIO - Travel
Teleperformance - Business Services
Teleperformance - Business Services
UKVI 30700359646 - Government
UKVI 30700359645 - Government
UK visa - Government
Överföring via internet - Transfer
Swish mottagen +46793582472 - Transfer
AGAPE PREMIUM SU - Food & Dining
WILLYS WIESELGRE - Shopping
ESPRESSO H 236 - Food & Dining
Överföring via internet - Transfer
AMZN Mktp DE - Shopping
WILLYS WIESELGRE - Shopping
Överföring via internet - Transfer
Swish mottagen +46793582472 - Transfer
Swish mottagen +46793582472 - Transfer
WILLYS HEMMA KVI - Shopping
KOOPERATIVET LIN - Shopping
NYTTIG SNABBMAT - Food & Dining
OLEARYS REST - Food & Dining
Swish skickad +46733023817 - Transfer
ESPRESSO H 262 - Food & Dining
Sannegardens Keb - Food & Dining
TB BURGERS OREBR - Food & Dining
Swish Foodora - Food & Dining
WILLYS HEMMA KVI - Shopping
PPS Foods AB - Food & Dining
Swish mottagen +46793582472 - Transfer
WILLYS HEMMA KVI - Shopping
Swish mottagen +46793582472 - Transfer
hallon - Fees & Charges
HELLOFRESH - Food & Dining
